,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
434011,IyqLACnE/,IyqLACnE93,93,72,"Penalty saved! Emanuele CalaiA² (Genoa) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,Genoa,Juventus,emanuele calaio,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
434278,jVjZn9f7/,jVjZn9f7104,104,81,"Penalty saved! David Pizarro (Fiorentina) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Fiorentina,Chievo Verona,david pizarro,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
434737,UF2QlVPf/,UF2QlVPf104,104,86,"Goal!  Livorno 2, Bologna 1. Lazaros Christodoulopoulos (Bologna) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Bologna,Livorno,lazaros christodoulopoulos,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
434855,Y1GY8iDI/,Y1GY8iDI23,23,23,"Goal!  FC Sevilla 1, Real Valladolid 0. Ivan Rakitic (FC Sevilla) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Sevilla,Real Valladolid,ivan rakitic,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
434893,Y1GY8iDI/,Y1GY8iDI61,61,66,"Goal!  FC Sevilla 3, Real Valladolid 0. Kevin Gameiro (FC Sevilla) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Sevilla,Real Valladolid,kevin gameiro,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
435059,hrqsJyyQ/,hrqsJyyQ40,40,39,"Penalty saved! Aritz Aduriz (Athletic Club) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Athletic Bilbao,Villarreal,aritz aduriz,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
435574,0OCCIVd4/,0OCCIVd484,84,72,"Goal!  Valenciennes 2, Ajaccio 1. Majeed Waris (Valenciennes) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Valenciennes,AC Ajaccio,majeed waris,,,,,1.0,1,14.0,1.0,0,2.0,0
435863,b1ZeD644/,b1ZeD64475,75,72,"Penalty missed! Still  Granada CF 1, Elche 0. Fran Rico (Granada CF) hits the right post with a right footed shot.",1,,2,Elche,Granada,fran rico,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
435976,E7A0LXCo/,E7A0LXCo86,86,85,"Penalty saved! Itay Shechter (Nantes) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,Nantes,Montpellier,itay shechter,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
436121,j1eVNlFb/,j1eVNlFb18,18,17,"Goal!        Goal!  Chelsea 3, Arsenal 0. Eden Hazard (Chelsea) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Chelsea,Arsenal,eden hazard,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
436580,n1lqHILa/,n1lqHILa61,61,63,"Goal!  Bordeaux 1, Nice 0. Jussie (Bordeaux) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Bordeaux,Nice,jussie,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
436795,nTlvMSqB/,nTlvMSqB17,17,26,"Goal!        Goal!  Manchester City 1, Fulham 0. Yaya Toure (Manchester City) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Manchester City,Fulham,yaya toure,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
436819,nTlvMSqB/,nTlvMSqB41,41,53,"Goal!        Goal!  Manchester City 2, Fulham 0. Yaya Toure (Manchester City) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Manchester City,Fulham,yaya toure,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
437366,trpEb85T/,trpEb85T8,8,20,"Goal!        Goal!  Everton 1, Swansea City 0. Leighton Baines (Everton) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Everton,Swansea,leighton baines,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
437972,YPpzN8U4/,YPpzN8U424,24,31,"Penalty saved! Nikica Jelavic (Hull City) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Hull,West Brom,nikica jelavic,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
438444,8tIwFRw0/,8tIwFRw048,48,36,Penalty missed! Bad penalty by Antonio Di Natale (Udinese) right footed shot is too high. Antonio Di Natale should be disappointed.,1,,1,Udinese,Sassuolo,antonio di natale,,,,10.0,2.0,0,14.0,1.0,0,2.0,0
438489,8tIwFRw0/,8tIwFRw093,93,72,"Penalty missed! Still  Udinese 1, Sassuolo 0. Sergio Floccari (Sassuolo) hits the right post with a right footed shot.",1,,2,Sassuolo,Udinese,sergio floccari,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
438557,8z9u5rCp/,8z9u5rCp43,43,45,"Goal!  Osasuna 0, FC Sevilla 2. Carlos Bacca (FC Sevilla) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Sevilla,Osasuna,carlos bacca,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
439569,rPFC0SO6/,rPFC0SO699,99,77,"Goal!  Bologna 1, Cagliari 0. Lazaros Christodoulopoulos (Bologna) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Bologna,Cagliari,lazaros christodoulopoulos,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
439646,StRC9O3T/,StRC9O3T58,58,55,"Goal!  Real Madrid 3, Barcelona 2. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Real Madrid,Barcelona,cristiano ronaldo,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
439659,StRC9O3T/,StRC9O3T71,71,65,"Goal!  Real Madrid 3, Barcelona 3. Lionel Messi (Barcelona) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Barcelona,Real Madrid,lionel messi,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
439685,StRC9O3T/,StRC9O3T97,97,84,"Goal!  Real Madrid 3, Barcelona 4. Lionel Messi (Barcelona) converts the penalty with a left footed shot to the top right corner.",1,,2,Barcelona,Real Madrid,lionel messi,,,,13.0,1.0,1,14.0,2.0,0,2.0,0
440052,0UeRSo4i/,0UeRSo4i20,20,21,"Goal!  AlmerA­a 0, Real Sociedad 1. Carlos Vela (Real Sociedad) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Real Sociedad,Almeria,carlos vela,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
440106,0UeRSo4i/,0UeRSo4i74,74,66,"Goal!  AlmerA­a 2, Real Sociedad 2. Verza (AlmerA­a) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Almeria,Real Sociedad,verza,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
440112,0UeRSo4i/,0UeRSo4i80,80,71,"Goal!  AlmerA­a 3, Real Sociedad 2. Verza (AlmerA­a) converts the penalty with a right footed shot to the top left corner.",1,,1,Almeria,Real Sociedad,verza,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
440440,82iWaQxM/,82iWaQxM46,46,66,"Goal!  Hertha Berlin 1, FC Bayern Munchen 2. Adrian Ramos (Hertha Berlin) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Hertha Berlin,Bayern Munich,adrian ramos,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
441156,23HsEog6/,23HsEog67,7,7,"Goal!  Chievo 1, Bologna 0. Alberto Paloschi (Chievo) converts the penalty with a right footed shot to the top right corner.",1,,1,Chievo Verona,Bologna,alberto paloschi,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
441899,fiXMHLej/,fiXMHLej92,92,90,"Goal!  Rayo Vallecano 1, Osasuna 0. JoaquA­n Larrivey (Rayo Vallecano) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Rayo Vallecano,Osasuna,joaquin larrivey,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
442693,UTenOc9s/,UTenOc9s23,23,25,"Goal!        Goal!  West Ham United 1, Hull City 0. Mark Noble (West Ham United) converts the penalty with a right footed shot to the bottom right corner.",1,,1,West Ham,Hull,mark noble,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
443973,4pkgF5x9/,4pkgF5x974,74,68,"Goal!  VfB Stuttgart 2, Borussia Dortmund 2. Marco Reus (Borussia Dortmund) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Borussia Dortmund,VfB Stuttgart,marco reus,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
444044,67j9ZoEA/,67j9ZoEA39,39,45,"Goal!        Goal!  Manchester United 2, Aston Villa 1. Wayne Rooney (Manchester United) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Manchester Utd,Aston Villa,wayne rooney,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
444405,ClJhVvQk/,ClJhVvQk87,87,87,"Goal!  Celta de Vigo 1, FC Sevilla 0. Nolito (Celta de Vigo) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Celta Vigo,Sevilla,nolito,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
444619,dO117zxi/,dO117zxi99,99,90,"Penalty missed! Still  Milan 3, Chievo 0. Cyril ThA©rA©au (Chievo) hits the bar with a right footed shot.",1,,2,Chievo Verona,AC Milan,cyril thaa©raa©au,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
444783,fZs6C3MR/,fZs6C3MR64,64,45,"Goal!  SC Freiburg 1, 1. FC Nurnberg 2. Josip Drmic (1. FC Nurnberg) converts the penalty with a right footed shot to the top left corner.",1,,2,Nurnberg,SC Freiburg,josip drmic,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
444794,fZs6C3MR/,fZs6C3MR75,75,53,"Goal!  SC Freiburg 2, 1. FC Nurnberg 2. Admir Mehmedi (SC Freiburg) converts the penalty with a right footed shot to the bottom left corner.",1,,1,SC Freiburg,Nurnberg,admir mehmedi,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
445131,Mw1LG9RG/,Mw1LG9RG85,85,84,"Goal!  Evian Thonon Gaillard 1, Monaco 0. CA©dric Mongongu (Evian Thonon Gaillard) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Evian Thonon Gaillard,AS Monaco,cedric mongongu,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
445641,rm2HHkCA/,rm2HHkCA101,101,90,"Penalty saved! Jonathan Zebina (Toulouse) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Toulouse,AC Ajaccio,jonathan zebina,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
445748,vFXoXUBc/,vFXoXUBc31,31,45,"Goal!  Reims 0, Lorient 1. Vincent Aboubakar (Lorient) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Lorient,Stade de Reims,vincent aboubakar,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
445837,viVEi2p2/,viVEi2p254,54,53,"Goal!  Bayer 04 Leverkusen 1, Eintracht Braunschweig 1. Stefan Kiessling (Bayer 04 Leverkusen) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Bayer Leverkusen,TSV Eintracht Braunschweig,stefan kiessling,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
446060,YcKlWKAq/,YcKlWKAq82,82,77,"Goal!  Espanyol 0, Barcelona 1. Lionel Messi (Barcelona) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Barcelona,Espanyol,lionel messi,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
446214,00WAhrVe/,00WAhrVe38,38,36,"Penalty saved! Filip Daems (Borussia Monchengladbach) fails to capitalise on this great opportunity,  left footed shot saved  in the centre of the goal.",1,,1,Borussia Monchengladbach,Hamburg SV,filip daems,,,,5.0,1.0,0,14.0,2.0,0,2.0,0
446555,6mzAw3I9/,6mzAw3I936,36,31,"Goal!  Villarreal 0, Elche 1. DamiA¡n SuA¡rez (Elche) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Elche,Villarreal,damian suarez,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
448269,t6SMz12S/,t6SMz12S81,81,90,"Penalty missed! Still  Real Betis 1, MA¡laga 2. RubA©n Castro (Real Betis) hits the bar with a right footed shot.",1,,2,Malaga,Real Betis,rubaa©n castro,,,,7.0,4.0,0,14.0,1.0,0,2.0,0
449407,AeTI2f6S/,AeTI2f6S96,96,84,"Penalty saved! Diego Milito (Inter Milan) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Internazionale,Bologna,diego milito,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
449473,Ay1XrSA9/,Ay1XrSA952,52,42,"Goal!  Toulouse 0, Lille 2. Salomon Kalou (Lille) converts the penalty with a right footed shot to the top right corner.",1,,2,Lille,Toulouse,salomon kalou,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
449625,C2bRqvuq/,C2bRqvuq15,15,15,"Goal!  Barcelona 1, Real Betis 0. Lionel Messi (Barcelona) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Barcelona,Real Betis,lionel messi,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
449696,C2bRqvuq/,C2bRqvuq86,86,86,"Penalty saved! Lionel Messi (Barcelona) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,1,Barcelona,Real Betis,lionel messi,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
450275,j1DzSrME/,j1DzSrME87,87,79,"Goal!  1. FC Nurnberg 0, Borussia Monchengladbach 2. Max Kruse (Borussia Monchengladbach) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Borussia Monchengladbach,Nurnberg,max kruse,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
450292,jyCvkRDc/,jyCvkRDc3,3,3,"Goal!        Goal!  Manchester City 1, Southampton 0. Yaya Toure (Manchester City) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Manchester City,Southampton,yaya toure,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
450317,jyCvkRDc/,jyCvkRDc28,28,36,"Goal!        Goal!  Manchester City 1, Southampton 1. Rickie Lambert (Southampton) converts the penalty with a right footed shot to the top right corner.",1,,2,Southampton,Manchester City,rickie lambert,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
451343,zTTiRNLj/,zTTiRNLj58,58,60,"Penalty saved! Frank Lampard (Chelsea) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Chelsea,Stoke City,frank lampard,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
451455,06JtM43d/,06JtM43d83,83,76,"Goal!  Monaco 3, Nantes 0. James RodrA­guez (Monaco) converts the penalty with a left footed shot to the centre of the goal.",1,,1,AS Monaco,Nantes,james rodriguez,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
451940,fRmWrbfk/,fRmWrbfk33,33,47,"Goal!  FC Sevilla 2, Espanyol 1. Sergio GarcA­a (Espanyol) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Espanyol,Sevilla,sergio garcia,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
452096,GE1Tq8e3/,GE1Tq8e397,97,90,"Goal!  St Etienne 1, Nice 1. Max Gradel (St Etienne) converts the penalty with a right footed shot to the bottom left corner.",1,,1,St Etienne,Nice,max gradel,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
452342,KG3eoqDM/,KG3eoqDM31,31,44,"Goal!        Goal!  West Ham United 0, Liverpool 1. Steven Gerrard (Liverpool) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Liverpool,West Ham,steven gerrard,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
452363,KG3eoqDM/,KG3eoqDM52,52,70,"Goal!        Goal!  West Ham United 1, Liverpool 2. Steven Gerrard (Liverpool) converts the penalty with a right footed shot to the top left corner.",1,,2,Liverpool,West Ham,steven gerrard,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
452471,KKFvKey3/,KKFvKey382,82,89,"Goal!  Cagliari 1, Roma 3. Mauricio Pinilla (Cagliari) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Cagliari,AS Roma,mauricio pinilla,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
452567,l07eGDzS/,l07eGDzS90,90,72,"Goal!  Fiorentina 2, Udinese 0. Gonzalo RodrA­guez (Fiorentina) converts the penalty with a right footed shot to the top right corner.",1,,1,Fiorentina,Udinese,gonzalo rodriguez,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
452684,lSayrnQF/,lSayrnQF85,85,87,"Penalty saved! Majeed Waris (Valenciennes) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Valenciennes,Lyon,majeed waris,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
453094,zs7alKWR/,zs7alKWR50,50,44,"Penalty saved! Youssef El-Arabi (Granada CF) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Granada,Malaga,youssef elarabi,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
453102,zs7alKWR/,zs7alKWR58,58,50,"Goal!  MA¡laga 3, Granada CF 0. Nourredine Amrabat (MA¡laga) converts the penalty with a right footed shot to the top right corner.",1,,1,Malaga,Granada,nourredine amrabat,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
453283,tK7ek0HL/,tK7ek0HL13,13,12,"Penalty missed! Bad penalty by Mikel San JosA© (Athletic Club) right footed shot is close, but misses to the right. Mikel San JosA© should be disappointed.",1,,2,Athletic Bilbao,Levante,mikel san jose,,,,9.0,2.0,0,14.0,1.0,0,2.0,0
453622,23aGSFCP/,23aGSFCP62,62,66,"Penalty saved! Klaas-Jan Huntelaar (FC Schalke 04) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Schalke 04,Eintracht Frankfurt,klaasjan huntelaar,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
454428,8plSAibk/,8plSAibk51,51,47,"Goal!  Sassuolo 1, Cagliari 1. Agim Ibraimi (Cagliari) converts the penalty with a left footed shot to the bottom right corner.",1,,2,Cagliari,Sassuolo,agim ibraimi,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
454771,EwPUarSF/,EwPUarSF8,8,15,"Penalty saved! Emmanuel Adebayor (Tottenham Hotspur) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Tottenham,West Brom,emmanuel adebayor,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
455174,nmZXI7hI/,nmZXI7hI44,44,37,"Goal!  Celta de Vigo 1, Real Sociedad 1. Nolito (Celta de Vigo) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Celta Vigo,Real Sociedad,nolito,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
456750,AVqSTW4R/,AVqSTW4R50,50,49,"Goal!  Napoli 2, Lazio 1. Gonzalo HiguaA­n (Napoli) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Napoli,Lazio,gonzalo higuain,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
457042,E3jJVhzF/,E3jJVhzF23,23,18,"Penalty saved! Maxi LA³pez (Sampdoria) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Sampdoria,Internazionale,maxi lopez,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
457280,hltPKTN5/,hltPKTN538,38,30,"Goal!  Real Betis 0, FC Sevilla 1. Kevin Gameiro (FC Sevilla) converts the penalty with a right footed shot to the high centre of the goal.",1,,2,Sevilla,Real Betis,kevin gameiro,,,,,1.0,1,14.0,1.0,0,2.0,0
457532,O8l8OBOt/,O8l8OBOt67,67,66,"Penalty saved! Diego Costa (AtlA©tico de Madrid) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Atletico Madrid,Getafe,diego costa,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
457790,tbnz9VS1/,tbnz9VS137,37,34,"Goal!  Livorno 2, Chievo 2. Paulinho (Livorno) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Livorno,Chievo Verona,paulinho,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
457823,tbnz9VS1/,tbnz9VS170,70,56,"Goal!  Livorno 2, Chievo 4. Alberto Paloschi (Chievo) converts the penalty with a right footed shot to the top right corner.",1,,2,Chievo Verona,Livorno,alberto paloschi,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
457956,tjhBXE52/,tjhBXE5275,75,73,"Goal!  Verona 2, Fiorentina 3. Luca Toni (Verona) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Hellas Verona,Fiorentina,luca toni,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
457972,tjhBXE52/,tjhBXE5291,91,83,"Goal!  Verona 2, Fiorentina 4. Alessandro Matri (Fiorentina) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Fiorentina,Hellas Verona,alessandro matri,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
458053,WCQvtvfE/,WCQvtvfE72,72,71,"Penalty saved! DamiA¡n SuA¡rez (Elche) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,2,Elche,Valencia,damian suarez,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
458896,G2DoxVht/,G2DoxVht35,35,50,"Penalty saved! David Villa (AtlA©tico de Madrid) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Atletico Madrid,Elche,david villa,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
458950,G2DoxVht/,G2DoxVht89,89,90,"Goal!  AtlA©tico de Madrid 2, Elche 0. Diego Costa (AtlA©tico de Madrid) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Atletico Madrid,Elche,diego costa,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
459015,0l0aFNR2/,0l0aFNR265,65,77,"Penalty saved! Steve Sidwell (Fulham) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,2,Fulham,Tottenham,steve sidwell,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
459537,6osxbMdS/,6osxbMdS92,92,81,"Goal!        Goal!  Chelsea 1, Sunderland 2. Fabio Borini (Sunderland) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Sunderland,Chelsea,fabio borini,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
459627,6qKnD7KM/,6qKnD7KM73,73,92,"Goal!        Goal!  Newcastle United 1, Swansea City 2. Wilfried Bony (Swansea City) converts the penalty with a right footed shot to the top right corner.",1,,2,Swansea,Newcastle,wilfried bony,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
459818,8INXYjZb/,8INXYjZb114,114,86,"Penalty saved! Sejad Salihovic (1899 Hoffenheim) fails to capitalise on this great opportunity,  left footed shot saved  in the centre of the goal.",1,,2,TSG Hoffenheim,Werder Bremen,sejad salihovic,,,,5.0,1.0,0,14.0,2.0,0,2.0,0
459999,E3SAL8C7/,E3SAL8C746,46,44,"Penalty saved! Antonio Cassano (Parma) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Parma,Internazionale,antonio cassano,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
460112,Ei43Ess9/,Ei43Ess952,52,59,"Goal!        Goal!  West Ham United 0, Crystal Palace 1. Mile Jedinak (Crystal Palace) converts the penalty with a right footed shot to the top left corner.",1,,2,Crystal Palace,West Ham,mile jedinak,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
460989,ShLrEm5G/,ShLrEm5G41,41,48,"Goal!        Goal!  Cardiff City 0, Stoke City 1. Marko Arnautovic (Stoke City) converts the penalty with a right footed shot to the centre of the goal.",1,,2,Stoke City,Cardiff,marko arnautovic,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
460991,ShLrEm5G/,ShLrEm5G43,43,50,"Goal!        Goal!  Cardiff City 1, Stoke City 1. Peter Whittingham (Cardiff City) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Cardiff,Stoke City,peter whittingham,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
461172,tWLuXU3B/,tWLuXU3B44,44,65,"Penalty saved! Filip Daems (Borussia Monchengladbach) fails to capitalise on this great opportunity,  left footed shot saved  in the bottom right corner.",1,,2,Borussia Monchengladbach,SC Freiburg,filip daems,,,,4.0,1.0,0,14.0,2.0,0,2.0,0
461382,Y7ayxUdl/,Y7ayxUdl63,63,61,"Goal!  Lazio 2, Torino 1. Antonio Candreva (Lazio) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Lazio,Torino,antonio candreva,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
461522,YaVKygkt/,YaVKygkt95,95,79,"Goal!  Borussia Dortmund 4, 1. FSV Mainz 05 2. Marco Reus (Borussia Dortmund) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Borussia Dortmund,Mainz,marco reus,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
462211,CSJ4gt5q/,CSJ4gt5q16,16,27,"Goal!        Goal!  Everton 1, Manchester United 0. Leighton Baines (Everton) converts the penalty with a left footed shot to the centre of the goal.",1,,1,Everton,Manchester Utd,leighton baines,,,,5.0,1.0,1,14.0,2.0,0,2.0,0
462474,fT4kk3Xr/,fT4kk3Xr88,88,68,"Goal!  Bordeaux 5, Guingamp 1. Diego Rolan (Bordeaux) converts the penalty with a right footed shot to the top left corner.",1,,1,Bordeaux,Guingamp,diego rolan,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
463138,zuMnlNnk/,zuMnlNnk31,31,31,"Goal!  Lorient 1, Montpellier 1. JA©rA©mie AliadiA¨re (Lorient) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Lorient,Montpellier,jeremie aliadiere,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
464223,b3ttgXA0/,b3ttgXA030,30,41,"Goal!        Goal!  Manchester United 1, Norwich City 0. Wayne Rooney (Manchester United) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Manchester Utd,Norwich City,wayne rooney,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
464779,G29Np7eA/,G29Np7eA33,33,39,"Goal!  Bayer 04 Leverkusen 2, Borussia Dortmund 2. Marco Reus (Borussia Dortmund) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Borussia Dortmund,Bayer Leverkusen,marco reus,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
465560,tpg2wPmp/,tpg2wPmp98,98,84,"Penalty saved! Roberto Firmino (1899 Hoffenheim) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,TSG Hoffenheim,Eintracht Frankfurt,roberto firmino,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
465857,WrHP9eFP/,WrHP9eFP87,87,83,"Goal!  Montpellier 2, Toulouse 1. RA©my Cabella (Montpellier) converts the penalty with a right footed shot to the top right corner.",1,,1,Montpellier,Toulouse,remy cabella,,,,13.0,1.0,1,14.0,1.0,0,2.0,0
465915,xCbpq46N/,xCbpq46N44,44,48,"Goal!  Real Betis 0, Real Sociedad 1. Carlos Vela (Real Sociedad) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Real Sociedad,Real Betis,carlos vela,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
466058,xSAI7orp/,xSAI7orp90,90,93,"Goal!        Goal!  Swansea City 4, Aston Villa 1. Wilfried Bony (Swansea City) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Swansea,Aston Villa,wilfried bony,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
