,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
345654,jwgKZUqA/,jwgKZUqA4,4,2,"Penalty saved! Alberto Gilardino (Genoa) fails to capitalise on this great opportunity,  right footed shot saved  in the centre of the goal.",1,,1,Genoa,Parma,alberto gilardino,,,,5.0,1.0,0,14.0,1.0,0,2.0,0
345755,ll3aQQ6d/,ll3aQQ6d19,19,18,"Goal!  Sassuolo 0, Udinese 1. Antonio Di Natale (Udinese) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Udinese,Sassuolo,antonio di natale,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
346000,nyyOdjqp/,nyyOdjqp34,34,32,"Goal!  Real Madrid 3, FC Sevilla 0. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Real Madrid,Sevilla,cristiano ronaldo,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
346008,nyyOdjqp/,nyyOdjqp42,42,38,"Goal!  Real Madrid 3, FC Sevilla 1. Ivan Rakitic (FC Sevilla) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Sevilla,Real Madrid,ivan rakitic,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
346058,nyyOdjqp/,nyyOdjqp92,92,74,Penalty missed! Bad penalty by Ivan Rakitic (FC Sevilla) right footed shot is just a bit too high. Ivan Rakitic should be disappointed.,1,,2,Sevilla,Real Madrid,ivan rakitic,,,,1.0,2.0,0,14.0,1.0,0,2.0,0
346177,r3UWfUDd/,r3UWfUDd97,97,90,"Penalty saved! Patrick Ebert (Real Valladolid) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Real Valladolid,Real Sociedad,patrick ebert,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
346521,tSoXWSTS/,tSoXWSTS109,109,87,"Goal!  Livorno 3, Torino 3. Alessio Cerci (Torino) converts the penalty with a left footed shot to the top right corner.",1,,2,Torino,Livorno,alessio cerci,,,,13.0,1.0,1,14.0,2.0,0,2.0,0
346697,2oAnGvp5/,2oAnGvp571,71,75,"Penalty saved! Jorge Molina (Real Betis) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom right corner.",1,,1,Real Betis,Levante,jorge molina,,,,4.0,1.0,0,14.0,1.0,0,2.0,0
346875,KMKsHKUb/,KMKsHKUb36,36,38,"Goal!  Granada CF 0, AtlA©tico de Madrid 1. Diego Costa (AtlA©tico de Madrid) converts the penalty with a right footed shot to the bottom left corner.",1,,2,Atletico Madrid,Granada,diego costa,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
346910,KMKsHKUb/,KMKsHKUb71,71,78,"Goal!  Granada CF 0, AtlA©tico de Madrid 2. David Villa (AtlA©tico de Madrid) converts the penalty with a right footed shot to the bottom right corner.",1,,2,Atletico Madrid,Granada,david villa,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
347904,8tffNP7h/,8tffNP7h70,70,75,"Penalty saved! NA©lson Oliveira (Rennes) fails to capitalise on this great opportunity,  right footed shot saved  in the bottom left corner.",1,,1,Stade Rennes,Marseille,nelson oliveira,,,,3.0,1.0,0,14.0,1.0,0,2.0,0
348150,EJfjO5hn/,EJfjO5hn41,41,44,"Goal!  Reims 2, Bastia 0. Grzegorz Krychowiak (Reims) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Stade de Reims,Bastia,grzegorz krychowiak,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
348840,jTgA8mrd/,jTgA8mrd52,52,53,"Goal!  Rayo Vallecano 1, Real Madrid 3. Jonathan Viera (Rayo Vallecano) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Rayo Vallecano,Real Madrid,jonathan viera,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
