time,number,latitude,longitude,u10,v10,t2m,d2m,tp
2023-04-01 06:00:00,37,50.75,4.25,5.8707256,1.3523933,281.42032,280.76077,0.85902786
2023-04-01 06:00:00,38,50.75,4.25,5.8997345,0.45715857,281.70477,280.95822,2.17315
2023-04-01 06:00:00,39,50.75,4.25,5.682785,0.5191133,281.68173,281.13733,2.6726093
2023-04-01 06:00:00,40,50.75,4.25,6.641824,-0.5364205,281.3239,280.61804,5.5512986
2023-04-01 06:00:00,41,50.75,4.25,6.1543703,0.6487807,281.55054,280.96625,2.5166178
2023-04-01 06:00:00,42,50.75,4.25,6.5543003,-1.0219247,281.38,281.0545,3.272604
2023-04-01 06:00:00,43,50.75,4.25,5.7546883,0.5695523,281.6369,280.87338,2.9681349
2023-04-01 06:00:00,44,50.75,4.25,6.212389,0.2478022,281.50345,280.85046,1.966711
2023-04-01 06:00:00,45,50.75,4.25,5.8551044,-0.117247134,281.67572,281.04132,2.3280678
2023-04-01 06:00:00,46,50.75,4.25,6.6591797,0.065623045,281.5733,280.89343,3.230029
2023-04-01 06:00:00,47,50.75,4.25,6.380493,-0.28606808,281.56204,280.91208,2.672967
2023-04-01 06:00:00,48,50.75,4.25,6.566449,-0.1547885,281.8748,281.16626,1.8336172
2023-04-01 06:00:00,49,50.75,4.25,6.3103256,-0.5295111,281.66696,280.90692,1.6257477
2023-04-01 06:00:00,50,50.75,4.25,6.8285236,0.38760346,281.83398,280.83755,2.3255634
2023-04-01 12:00:00,1,50.75,4.25,5.845683,-1.1737022,282.85632,280.92783,5.076884
2023-04-01 12:00:00,2,50.75,4.25,5.9056845,-1.4802516,282.8458,281.10178,4.4099836
2023-04-01 12:00:00,3,50.75,4.25,6.144205,-1.4051689,283.08444,280.72665,2.523057
2023-04-01 12:00:00,4,50.75,4.25,5.678075,-1.3068244,282.2784,280.97052,4.331988
2023-04-01 12:00:00,5,50.75,4.25,5.7819624,-3.2499924,284.56674,280.58136,1.8754778
2023-04-01 12:00:00,6,50.75,4.25,6.1531305,-1.697669,283.8276,280.68683,3.3040886
2023-04-01 12:00:00,7,50.75,4.25,5.7197285,-2.1262853,282.816,280.99203,4.707656
2023-04-01 12:00:00,8,50.75,4.25,6.533225,-1.5288482,282.8378,281.11554,3.2346802
2023-04-01 12:00:00,9,50.75,4.25,5.6748514,-1.8985038,282.77295,280.9479,2.7212667
2023-04-01 12:00:00,10,50.75,4.25,5.811715,-0.7225151,282.7246,281.15765,2.9763632
2023-04-01 12:00:00,11,50.75,4.25,6.143709,-1.6640431,282.7907,280.86047,2.5924664
2023-04-01 12:00:00,12,50.75,4.25,5.548649,-1.7686061,282.6545,281.09576,3.0847702
2023-04-01 12:00:00,13,50.75,4.25,5.4998045,-0.7374856,282.69083,281.14304,3.6904898
2023-04-01 12:00:00,14,50.75,4.25,6.764555,-1.6550608,282.5263,280.95877,3.4014044
2023-04-01 12:00:00,15,50.75,4.25,6.0621357,-0.5887021,282.58765,280.87482,3.882975
