,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
51,2023-04-01,precip,78 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
52,2023-04-01,wind,84 hour,1.560336960924971,2.983360832945949,3.529763492383741,4.180148459021781,5.079812141881778
53,2023-04-01,t2m,84 hour,277.82928675,280.090305,280.854325,281.5778775,282.29784574999996
54,2023-04-01,rh,84 hour,84.07615637122387,85.67365923940402,86.5935479897012,87.22725009947756,88.38957559085948
55,2023-04-01,precip,84 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
56,2023-04-01,wind,90 hour,1.4501576232204128,2.000928056528155,2.658531804746902,3.1432820761583424,4.276880661781038
57,2023-04-01,t2m,90 hour,276.469601,278.5453925,279.121975,279.72492,280.44921775
58,2023-04-01,rh,90 hour,87.30640013038543,88.62314963783031,89.35508722871582,90.44318293350548,92.39622953487857
59,2023-04-01,precip,90 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
60,2023-04-01,wind,96 hour,0.9063951029025012,1.946816959420429,2.1221087701531154,2.467759227304514,3.647024794110021
61,2023-04-01,t2m,96 hour,271.42133075,272.5033775,273.60546999999997,274.271325,276.91510124999996
62,2023-04-01,rh,96 hour,92.23481722976634,94.59492832899777,96.60310169811464,97.29022784964722,97.95623452262313
63,2023-04-01,precip,96 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
64,2023-04-01,wind,102 hour,1.084739296235971,1.4702870083863364,1.8173372205232896,2.4864039165992384,3.5241711992307385
65,2023-04-01,t2m,102 hour,270.08170125,271.477645,271.60672,272.4542825,274.71651825
66,2023-04-01,rh,102 hour,94.58382701993294,96.99993889299509,97.59758167459736,98.27937198405695,99.07392912829175
67,2023-04-01,precip,102 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
68,2023-04-01,wind,108 hour,0.5743810567462484,1.6160100652551288,2.6578625614065405,3.4918963637748113,5.287750753734597
69,2023-04-01,t2m,108 hour,278.508417,280.6947475,281.553405,282.5017775,284.17600075
70,2023-04-01,rh,108 hour,83.34547098238694,85.25043383535171,86.16028781249021,86.99961609507582,89.29997231474991
71,2023-04-01,precip,108 hour,5.5500103825,7.199764675,8.139650499999998,9.24178775,11.765954974999998
72,2023-04-01,wind,114 hour,1.0401145854231117,1.7391532114596995,1.9616790777836872,2.3522115425415064,4.394285267771517
73,2023-04-01,t2m,114 hour,276.80575825,278.8888125,279.72217,280.37681,282.32925675
74,2023-04-01,rh,114 hour,86.03370276007341,89.20046887901039,90.6227500985261,92.34175200108325,94.68926216058573
75,2023-04-01,precip,114 hour,5.554447025,7.199764675,8.139650499999998,9.24178775,11.774970949999998
76,2023-04-01,wind,120 hour,1.3458106050420557,1.8849531502319055,2.094303151314782,2.4407000967670833,3.5921133775975234
77,2023-04-01,t2m,120 hour,271.87771475,273.4775775,274.202025,275.7084,278.8777685
78,2023-04-01,rh,120 hour,91.07260650332738,94.69744710892212,95.86438263840813,97.16130718739562,97.91617421732221
79,2023-04-01,precip,120 hour,5.554447025,7.199764675,8.139650499999998,9.24178775,11.774970949999998
